"id";"reputation";"ex";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"19963";"18";"0";"1";"1";"0,0000946437244326048";"7";"0,292087749568647";"0";"0,0169300366253565"
"19965";"6";"0";"1";"5";"0,0000374945005479113";"7";"0,298397247629437";"0";"0,000244794250290666"
"19967";"11";"0";"1";"1";"0,0000410373936793526";"7";"0,277973258268825";"0";"0,000532320032577724"
"19970";"111";"0";"0";"2";"0,0000311204305365192";"7";"0,269946101875047";"0";"0"
"19972";"19";"0";"1";"5";"0,0000374945005479113";"7";"0,303180151760593";"0";"0,000244794250290666"
"19973";"9";"0";"0";"4";"0,0000311204305365192";"7";"0,297822445561139";"0";"0"
"19976";"6";"0";"1";"2";"0,0000541225221327741";"8";"0,273959938366718";"0";"0,000244794250290666"
"19978";"1";"0";"1";"0";"0,0000374945005479113";"0";"0";"0";"0,000244794250290666"
"19979";"11";"0";"2";"1";"0,0000437168046430473";"7";"0,280331099724084";"18,1339367377933";"0,00046917188033273"
"19985";"18";"0";"0";"1";"0,0000311204305365192";"7";"0,297473648987786";"0";"0"
"19989";"16";"0";"0";"2";"0,0000311204305365192";"8";"0,25280818996161";"0";"0"
"19990";"9";"0";"0";"3";"0,0000311204305365192";"7";"0,287225452196382";"0";"0"
"19991";"246";"1";"1";"13";"0,00006176265089778";"7";"0,322624557582358";"5655,22411908958";"0,000627842281765846"
"19992";"21";"0";"0";"7";"0,0000311204305365192";"7";"0,307965367965368";"0";"0"
"19994";"406";"1";"16";"11";"0,00031715687377449";"7";"0,320212574310935";"11798,748426032";"0,00976364215492979"
"20003";"196";"0";"2";"2";"0,000099631225091684";"7";"0,26836264814675";"0";"0,00227654667394386"
"20004";"109";"0";"1";"3";"0,0000434238702917287";"7";"0,298272101996309";"0";"0,000244794250290666"
"20006";"101";"0";"1";"0";"0,0000351587675364761";"0";"0";"0";"0,00025152830300728"
"20018";"101";"0";"0";"3";"0,0000311204305365192";"7";"0,29998312805804";"0";"0"
"20019";"49";"0";"0";"4";"0,0000311204305365192";"7";"0,302406667233608";"0";"0"
