"id";"userId";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector";"ex";"reputation"
"11797";"11797";"1";"0";"0,0000377335269424465";"0";"0";"0";"0,000234585940166365";"0";"11"
"11799";"11799";"1";"5";"0,0000374945005479113";"7";"0,29407872973867";"0";"0,000244794250290666";"0";"6"
"11801";"11801";"0";"3";"0,0000311204305365192";"7";"0,294005787515502";"0";"0";"0";"4"
"11805";"11805";"0";"1";"0,0000311204305365192";"8";"0,253981858438683";"0";"0";"0";"26"
"11807";"11807";"1";"6";"0,0000362568168593035";"7";"0,317188475604317";"0";"0,000244794250290666";"0";"16"
"11812";"11812";"0";"1";"0,0000311204305365192";"7";"0,292121909143186";"0";"0";"0";"26"
"11816";"11816";"0";"1";"0,0000311204305365192";"8";"0,251200904210229";"0";"0";"0";"11"
"11817";"11817";"0";"1";"0,0000311204305365192";"8";"0,25205557130706";"0";"0";"0";"28"
"11822";"11822";"1";"1";"0,0000747640060008678";"7";"0,257478090823495";"0";"0,00510211881493369";"0";"11"
"11824";"11824";"0";"2";"0,0000311204305365192";"7";"0,29407872973867";"0";"0";"0";"13"
"11826";"11826";"2";"5";"0,000114028648988203";"7";"0,312115891132572";"110,817643382234";"0,0174697969476949";"0";"11"
"11829";"11829";"10";"11";"0,00035236782085284";"7";"0,299873471109237";"3128,46708706027";"0,0268747581056386";"1";"432"
"11837";"11837";"0";"1";"0,0000311204305365192";"8";"0,25205557130706";"0";"0";"0";"113"
"11841";"11841";"121";"37";"0,0026988930198267";"7";"0,348358647721705";"99987,4410865485";"0,240505897693673";"1";"2241"
"11851";"11851";"1";"0";"0,0000950858651926462";"0";"0";"0";"0,0168620622660707";"0";"101"
"11855";"11855";"2";"9";"0,0000364926847869699";"7";"0,314490445859873";"5629,07580659583";"0,000495251372640327";"1";"394"
"11856";"11856";"1";"2";"0,000041479665761173";"8";"0,252429939694927";"18,7049787602708";"0,000244794250290666";"0";"13"
"11858";"11858";"1";"1";"0,0000495480002664116";"7";"0,29018039343727";"73,1474895671677";"0,000269830741272165";"0";"21"
"11860";"11860";"1";"0";"0,0000950858651926462";"0";"0";"0";"0,0168620622660707";"0";"101"
"11864";"11864";"0";"1";"0,0000311204305365192";"8";"0,25205557130706";"0";"0";"0";"38"
"11866";"11866";"0";"1";"0,0000311204305365192";"8";"0,260627381999414";"0";"0";"0";"123"
"11869";"11869";"2";"9";"0,0000803071008058949";"7";"0,324124726477024";"5530";"0,0152289264890773";"0";"176"
"11871";"11871";"0";"4";"0,0000311204305365192";"7";"0,297947214076246";"0";"0";"0";"6"
"12872";"12872";"1";"10";"0,0000340114018820511";"7";"0,324363769041321";"0";"0,000244794250290666";"0";"143"
"12875";"12875";"1";"3";"0,0000387050104516129";"7";"0,300151975683891";"29,1312805759932";"0,000494290742119726";"0";"26"
"12876";"12876";"3";"12";"0,0000418676854675366";"7";"0,317646008215753";"205,37184126921";"0,000744807492527611";"0";"75"
"12877";"12877";"295";"60";"0,00674212243291251";"7";"0,352398889770024";"423982,856288018";"0,338879748033817";"1";"4410"
"12879";"12879";"2";"3";"0,0000640495476176661";"8";"0,274051803885291";"8,90939588363351";"0,00192143943296839";"0";"81"
"12880";"12880";"2";"6";"0,0000390584821262767";"7";"0,307639069123627";"54,2036009345759";"0,000489588500581331";"0";"14"
"12883";"12883";"0";"3";"0,0000311204305365192";"8";"0,258822673360984";"0";"0";"0";"16"
"12886";"12886";"2";"1";"0,000145407245205907";"7";"0,290109352048311";"0";"0,0248643267072469";"0";"61"
"12887";"12887";"1";"8";"0,0000348200652829295";"7";"0,316482734069064";"0";"0,000244794250290666";"0";"6"
