"questionId";"finished";"experts";"indegree";"outdegree";"pagerank";"eccentricity";"closeness";"betweeness";"eigenvector"
"34267";"1";"2";"66,0000";"36,5000";"0,0016895177820694849";"6,5000";"0,3582205599233875";"90455,3628291457";"0,1228764937591877"
"34269";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34272";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34273";"1";"1";"202,0000";"57,0000";"0,00462893621038464";"6,0000";"0,367214130771615";"276454,018604195";"0,343804768025675"
"34278";"0";"0";"105,0000";"39,0000";"0,00252475382411147";"7,0000";"0,351701622477246";"168018,617058918";"0,134486523735298"
"34284";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34285";"1";"1";"180,0000";"56,0000";"0,0038714647690388";"7,0000";"0,351388751606207";"297840,528093509";"0,253012051354459"
"34286";"0";"0";"295,0000";"60,0000";"0,00674212243291251";"7,0000";"0,352398889770024";"423982,856288018";"0,338879748033817"
"34290";"0";"0";"571,0000";"107,0000";"0,0120256395228109";"6,0000";"0,389418337167269";"1054197,30160725";"0,598116546044618"
"34292";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34295";"0";"0";"56,0000";"27,0000";"0,0011903850889058";"7,0000";"0,344209914794733";"61403,9513164037";"0,115537668775535"
"34297";"0";"0";"733,0000";"296,0000";"0,0144872662654788";"6,0000";"0,423315075017861";"2407648,16163808";"0,656484619884439"
"34298";"1";"2";"683,0000";"134,5000";"0,014215237888537704";"6,5000";"0,38181184273052204";"1598898,2864853316";"0,5628147393482386"
"34299";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34304";"1";"1";"56,0000";"27,0000";"0,0011903850889058";"7,0000";"0,344209914794733";"61403,9513164037";"0,115537668775535"
"34306";"1";"2";"686,0000";"132,5000";"0,01428615363518922";"6,5000";"0,38091243126573804";"1614419,176907812";"0,5467160947376537"
"34309";"1";"1";"63,0000";"48,0000";"0,00117151369423294";"6,0000";"0,364765031807921";"97172,4135921526";"0,0914347710954128"
"34312";"0";"0";"99,0000";"54,0000";"0,00253132447450018";"7,0000";"0,355891480628692";"197411,247296074";"0,19649615795319"
"34316";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34317";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34322";"1";"1";"490,0000";"93,0000";"0,0102389488736368";"6,0000";"0,376270110076207";"821480,227897471";"0,54585824275312"
"34323";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34328";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34331";"1";"2";"513,5000";"192,0000";"0,01036234013761223";"6,5000";"0,39925648209995945";"1436833,806419376";"0,5290918856215739"
"34336";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34338";"0";"0";"1,0000";"0,0000";"0,0000423718170586674";"0,0000";"0";"0";"0,000539760322338423"
"34339";"1";"0";"9,0000";"6,0000";"0,000309769427941256";"7,0000";"0,309103556212503";"1555,58148749813";"0,0277156949884585"
"34344";"1";"2";"128,0000";"43,5000";"0,002724824225653744";"6,5000";"0,331408370303915";"262640,4455691735";"0,17311403664267097"
"34345";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34349";"0";"0";"255,0000";"86,0000";"0,00540825825066556";"6,0000";"0,384865215979214";"525280,891138347";"0,345878774554815"
"34351";"0";"0";"1,0000";"0,0000";"0,0000443019690091293";"0,0000";"0";"0";"0,000269548537040174"
"34356";"1";"0";"10,0000";"9,5000";"0,0002697356747182474";"7,5000";"0,2695460821297685";"9746,9074887532";"0,006331556770704319"
"34361";"0";"0";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34363";"0";"0";"398,0000";"129,0000";"0,00826626216433255";"6,0000";"0,399527983816588";"979409,158855368";"0,515699319724749"
"34366";"0";"0";"11,0000";"3,5000";"0,0003248207109982638";"7,5000";"0,28949375567602";"790,7208598929951";"0,01327351586384099"
"34373";"0";"0";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34374";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34377";"1";"0";"3,0000";"8,0000";"0,000130690090398991";"7,0000";"0,304679465203977";"5613,80628573088";"0,0184470457873742"
"34378";"0";"0";"301,5000";"66,0000";"0,006401690443896425";"6,5000";"0,361144593679334";"498931,10075398104";"0,35946672291674553"
"34380";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34382";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34386";"0";"0";"68,0000";"41,0000";"0,00148499202539664";"7,0000";"0,353204172876304";"123567,846925964";"0,0934321894753074"
"34388";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34391";"1";"1";"84,0000";"54,0000";"0,00233294799428712";"6,0000";"0,364092585006145";"182191,850418229";"0,206658093508647"
"34394";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34396";"0";"0";"733,0000";"296,0000";"0,0144872662654788";"6,0000";"0,423315075017861";"2407648,16163808";"0,656484619884439"
"34397";"1";"2";"79,0000";"51,5000";"0,0016028204034272799";"7,0000";"0,356258170509618";"164024,6005641077";"0,093377627839933"
"34399";"0";"0";"1,0000";"1,0000";"0,0000509339686109928";"8,0000";"0,246378820431076";"0";"0,000608158452251338"
"34404";"0";"0";"255,0000";"86,0000";"0,00540825825066556";"6,0000";"0,384865215979214";"525280,891138347";"0,345878774554815"
"34405";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34406";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34408";"1";"2";"1119,0000";"242,0000";"0,02325895480183495";"6,0000";"0,41058863193446804";"2983264,713296785";"0,856424597798211"
"34409";"1";"2";"467,5000";"130,0000";"0,009734163942815273";"3,0000";"0,206278287106882";"1430629,459851955";"0,3565418907682942"
"34413";"0";"0";"398,0000";"129,0000";"0,00826626216433255";"6,0000";"0,399527983816588";"979409,158855368";"0,515699319724749"
"34415";"0";"0";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34417";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34420";"0";"0";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34425";"0";"0";"22,0000";"7,0000";"0,000374026656040261";"7,0000";"0,297141424272818";"4523,44409403139";"0,0161111526436113"
"34426";"1";"0";"1,0000";"1,0000";"0,000036410907661261";"8,0000";"0,237145715238413";"1,28571428571429";"0,000234585940166365"
"34427";"0";"0";"1304,0000";"224,0000";"0,0270873152449818";"6,0000";"0,408620689655172";"3105270,50688966";"1"
"34428";"1";"2";"504,0000";"154,0000";"0,010473711165842624";"6,0000";"0,389374702434447";"1494421,8413896065";"0,414220831918163"
"34433";"1";"1";"872,0000";"252,0000";"0,018963806326";"6,0000";"0,407449856733524";"2443646,05895911";"0,740226986192448"
"34435";"1";"1";"872,0000";"252,0000";"0,018963806326";"6,0000";"0,407449856733524";"2443646,05895911";"0,740226986192448"
"34438";"0";"0";"113,0000";"39,0000";"0,00256443201415605";"7,0000";"0,346019077282461";"176381,973610491";"0,173075203080371"
"34439";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34440";"0";"0";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34443";"1";"1";"68,0000";"41,0000";"0,00148499202539664";"7,0000";"0,353204172876304";"123567,846925964";"0,0934321894753074"
"34450";"1";"1";"374,0000";"63,0000";"0,00833592941207391";"7,0000";"0,350488021295475";"412906,763250483";"0,484699790901614"
"34453";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34462";"0";"0";"1304,0000";"224,0000";"0,0270873152449818";"6,0000";"0,408620689655172";"3105270,50688966";"1"
"34464";"1";"1";"113,0000";"39,0000";"0,00256443201415605";"7,0000";"0,346019077282461";"176381,973610491";"0,173075203080371"
"34466";"1";"2";"224,0000";"55,5000";"0,00492637869253553";"6,5000";"0,35834042597530247";"270245,763162893";"0,30014612957075903"
"34469";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34473";"1";"1";"68,0000";"41,0000";"0,00148499202539664";"7,0000";"0,353204172876304";"123567,846925964";"0,0934321894753074"
"34476";"0";"0";"64,5000";"23,5000";"0,0013507703994323325";"6,5000";"0,314469688183077";"72429,5663944605";"0,1041281983962088"
"34479";"0";"0";"28,0000";"14,0000";"0,0006122017256134";"6,0000";"0,333959605448567";"41180,1853530375";"0,0414292774549946"
"34480";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34481";"1";"1";"934,0000";"260,0000";"0,0194305943586881";"6,0000";"0,412556574213764";"2861258,91970391";"0,712849195596422"
"34483";"0";"0";\N;\N;\N;\N;\N;\N;\N
"34484";"1";"0";"6,0000";"10,0000";"0,000198859329801003";"7,0000";"0,303431205189484";"1558,02495383035";"0,0121562302509941"
"34485";"0";"0";"336,0000";"103,6667";"0,007038148571295247";"6,6667";"0,35639731742651737";"995461,5971945681";"0,27281253844090786"
"34486";"1";"2";"470,0000";"146,5000";"0,01022439917569832";"6,5000";"0,38032701480491404";"1283606,9529425371";"0,4168295878338777"
"34494";"1";"1";"138,0000";"28,0000";"0,00356241219112244";"7,0000";"0,330390334572491";"170152,54950495";"0,200253767551162"
