Source;Target;Type;id;label;timeset;weight;relation
460;510;Directed;339;;;1.0;1.0
16142;12877;Directed;340;;;1.0;2.0
3632;810;Directed;341;;;1.0;1.0
1413;4108;Directed;342;;;1.0;1.0
21711;4108;Directed;343;;;1.0;2.0
17001;23303;Directed;344;;;1.0;0.0
22890;4108;Directed;345;;;1.0;2.0
3415;3555;Directed;346;;;1.0;0.0
3450;1668;Directed;347;;;1.0;0.0
9458;8517;Directed;348;;;1.0;1.0
11613;3340;Directed;349;;;3.0;2.0
3533;231;Directed;350;;;1.0;1.0
17024;14552;Directed;351;;;1.0;2.0
1590;5862;Directed;352;;;1.0;1.0
14904;17123;Directed;353;;;1.0;0.0
5005;4108;Directed;354;;;19.0;1.0
5005;4109;Directed;355;;;2.0;1.0
16192;19679;Directed;356;;;1.0;2.0
3632;885;Directed;357;;;3.0;1.0
19350;19360;Directed;358;;;1.0;0.0
20256;20256;Directed;359;;;9.0;0.0
3632;889;Directed;360;;;1.0;2.0
8650;8650;Directed;361;;;1.0;0.0
137;137;Directed;362;;;10.0;1.0
21221;10456;Directed;363;;;1.0;2.0
10456;11581;Directed;364;;;2.0;2.0
988;3971;Directed;365;;;3.0;1.0
21729;21306;Directed;366;;;1.0;0.0
10000;3340;Directed;367;;;1.0;2.0
8704;8704;Directed;368;;;9.0;0.0
5366;1640;Directed;369;;;1.0;1.0
15632;12877;Directed;370;;;1.0;2.0
18904;5148;Directed;371;;;2.0;2.0
15252;14552;Directed;372;;;2.0;2.0
9496;5144;Directed;373;;;2.0;2.0
8894;6194;Directed;374;;;1.0;2.0
19350;19350;Directed;375;;;1.0;0.0
18827;1306;Directed;376;;;1.0;2.0
9099;4108;Directed;377;;;2.0;1.0
19933;9943;Directed;378;;;1.0;2.0
577;3460;Directed;379;;;3.0;1.0
1705;10456;Directed;380;;;1.0;2.0
9757;9943;Directed;381;;;1.0;2.0
988;1306;Directed;382;;;1.0;1.0
11841;3865;Directed;383;;;1.0;1.0
11555;3340;Directed;384;;;2.0;1.0
3632;861;Directed;385;;;1.0;2.0
5630;5630;Directed;386;;;12.0;0.0
3632;866;Directed;387;;;2.0;2.0
23603;19521;Directed;388;;;1.0;2.0
1590;3228;Directed;389;;;2.0;1.0
137;115;Directed;390;;;2.0;1.0
9018;4433;Directed;391;;;1.0;2.0
577;3474;Directed;392;;;1.0;2.0
3340;11729;Directed;393;;;1.0;2.0
4321;11841;Directed;394;;;2.0;2.0
1536;1306;Directed;395;;;2.0;1.0
16709;16709;Directed;396;;;1.0;0.0
16543;4108;Directed;397;;;4.0;2.0
16220;16327;Directed;398;;;1.0;0.0
10104;5144;Directed;399;;;5.0;1.0
1536;3971;Directed;400;;;2.0;1.0
10037;3703;Directed;401;;;1.0;2.0
22666;3340;Directed;402;;;1.0;2.0
15966;10456;Directed;403;;;1.0;1.0
19456;19456;Directed;404;;;1.0;0.0
9539;9476;Directed;405;;;1.0;0.0
14507;11736;Directed;406;;;2.0;2.0
3340;11736;Directed;407;;;3.0;1.0
1590;3247;Directed;408;;;1.0;1.0
5487;4579;Directed;409;;;1.0;2.0
4108;3460;Directed;410;;;1.0;1.0
5796;3340;Directed;411;;;1.0;2.0
5392;4108;Directed;412;;;7.0;1.0
192;8290;Directed;413;;;1.0;2.0
12899;6307;Directed;414;;;1.0;2.0
3887;12923;Directed;415;;;1.0;1.0
680;1396;Directed;416;;;1.0;2.0
301;251;Directed;417;;;1.0;1.0
4326;1320;Directed;418;;;1.0;2.0
3632;3072;Directed;419;;;1.0;2.0
4833;9482;Directed;420;;;1.0;2.0
5009;3887;Directed;421;;;1.0;2.0
8198;16433;Directed;422;;;1.0;1.0
28;3971;Directed;423;;;1.0;1.0
28;3970;Directed;424;;;1.0;1.0
137;146;Directed;425;;;2.0;1.0
5688;16150;Directed;426;;;1.0;2.0
4461;4199;Directed;427;;;1.0;2.0
15272;8804;Directed;428;;;1.0;1.0
1439;389;Directed;429;;;1.0;2.0
9910;16651;Directed;430;;;2.0;1.0
10251;4747;Directed;431;;;4.0;2.0
4470;14629;Directed;432;;;1.0;2.0
6;948;Directed;433;;;1.0;1.0
10104;5198;Directed;434;;;2.0;1.0
3657;10456;Directed;435;;;1.0;1.0
2938;4579;Directed;436;;;1.0;1.0
8071;3632;Directed;437;;;4.0;2.0
